HOLEID,X,Y,Z,FORMATION1,FORMATION2
1,2843790,29978988,1629.5,4,1
2,2843790,29979058,1614.5,4,1
3,2843790,29979128,1609.5,4,1
4,2843790,29979198,1639.5,4,1
4,2843790,29979198,1654.5,1,4
4,2843790,29979198,1659.5,4,1
5,2843790,29979268,1649.5,4,1
6,2843790,29979338,1644.5,4,1
7,2843790,29979408,1639.5,4,1
8,2843790,29979478,1624.5,4,1
9,2843790,29979548,1639.5,4,1
10,2843857,29978988,1639.5,4,1
11,2843857,29979058,1634.5,4,1
12,2843857,29979128,1624.5,4,1
13,2843857,29979198,1634.5,4,1
14,2843857,29979268,1579.5,3,4
14,2843857,29979268,1594.5,4,3
14,2843857,29979268,1619.5,3,4
14,2843857,29979268,1654.5,4,1
15,2843857,29979338,1414.5,4,3
15,2843857,29979338,1419.5,3,4
15,2843857,29979338,1424.5,4,3
15,2843857,29979338,1614.5,3,4
15,2843857,29979338,1619.5,4,3
15,2843857,29979338,1629.5,3,4
15,2843857,29979338,1644.5,4,1
16,2843857,29979408,1454.5,4,3
16,2843857,29979408,1519.5,3,2
16,2843857,29979408,1534.5,2,3
16,2843857,29979408,1544.5,3,2
16,2843857,29979408,1649.5,2,1
16,2843857,29979408,1654.5,1,3
16,2843857,29979408,1674.5,3,1
17,2843857,29979478,1554.5,4,2
17,2843857,29979478,1594.5,2,4
17,2843857,29979478,1609.5,4,2
17,2843857,29979478,1614.5,2,4
17,2843857,29979478,1639.5,4,1
17,2843857,29979478,1644.5,1,4
17,2843857,29979478,1649.5,4,3
17,2843857,29979478,1659.5,3,4
17,2843857,29979478,1664.5,4,3
17,2843857,29979478,1669.5,3,1
18,2843857,29979548,1404.5,3,4
18,2843857,29979548,1579.5,4,2
18,2843857,29979548,1649.5,2,4
18,2843857,29979548,1669.5,4,1
19,2843924,29978988,1604.5,4,1
19,2843924,29978988,1609.5,1,3
19,2843924,29978988,1614.5,3,1
20,2843924,29979058,1639.5,4,1
21,2843924,29979128,1609.5,4,2
21,2843924,29979128,1614.5,2,4
21,2843924,29979128,1619.5,4,3
21,2843924,29979128,1634.5,3,4
21,2843924,29979128,1639.5,4,1
22,2843924,29979198,1414.5,4,2
22,2843924,29979198,1444.5,2,4
22,2843924,29979198,1469.5,4,3
22,2843924,29979198,1479.5,3,4
22,2843924,29979198,1484.5,4,3
22,2843924,29979198,1489.5,3,4
22,2843924,29979198,1519.5,4,3
22,2843924,29979198,1564.5,3,2
22,2843924,29979198,1569.5,2,3
22,2843924,29979198,1574.5,3,2
22,2843924,29979198,1644.5,2,4
22,2843924,29979198,1669.5,4,1
23,2843924,29979268,1659.5,3,1
24,2843924,29979338,1669.5,3,1
25,2843924,29979408,1439.5,3,2
25,2843924,29979408,1444.5,2,3
25,2843924,29979408,1464.5,3,2
25,2843924,29979408,1529.5,2,3
25,2843924,29979408,1539.5,3,2
25,2843924,29979408,1579.5,2,3
25,2843924,29979408,1594.5,3,2
25,2843924,29979408,1599.5,2,3
25,2843924,29979408,1619.5,3,2
25,2843924,29979408,1634.5,2,3
25,2843924,29979408,1639.5,3,2
25,2843924,29979408,1654.5,2,3
25,2843924,29979408,1659.5,3,2
25,2843924,29979408,1694.5,2,1
26,2843924,29979478,1679.5,2,3
26,2843924,29979478,1694.5,3,1
27,2843924,29979548,1434.5,3,2
27,2843924,29979548,1439.5,2,3
27,2843924,29979548,1444.5,3,4
27,2843924,29979548,1459.5,4,2
27,2843924,29979548,1474.5,2,4
27,2843924,29979548,1489.5,4,2
27,2843924,29979548,1529.5,2,4
27,2843924,29979548,1554.5,4,2
27,2843924,29979548,1564.5,2,4
27,2843924,29979548,1574.5,4,2
27,2843924,29979548,1594.5,2,4
27,2843924,29979548,1599.5,4,2
27,2843924,29979548,1604.5,2,4
27,2843924,29979548,1619.5,4,2
27,2843924,29979548,1629.5,2,1
27,2843924,29979548,1644.5,1,3
27,2843924,29979548,1654.5,3,1
28,2843991,29978988,1409.5,4,3
28,2843991,29978988,1414.5,3,4
28,2843991,29978988,1424.5,4,3
28,2843991,29978988,1444.5,3,4
28,2843991,29978988,1494.5,4,3
28,2843991,29978988,1634.5,3,1
28,2843991,29978988,1639.5,1,3
28,2843991,29978988,1644.5,3,1
29,2843991,29979058,1644.5,3,4
29,2843991,29979058,1654.5,4,1
30,2843991,29979128,1659.5,3,1
31,2843991,29979198,1604.5,3,2
31,2843991,29979198,1609.5,2,3
31,2843991,29979198,1679.5,3,1
32,2843991,29979268,1604.5,3,2
32,2843991,29979268,1689.5,2,1
33,2843991,29979338,1439.5,3,2
33,2843991,29979338,1519.5,2,3
33,2843991,29979338,1634.5,3,2
33,2843991,29979338,1664.5,2,3
33,2843991,29979338,1684.5,3,2
33,2843991,29979338,1689.5,2,3
34,2843991,29979408,1439.5,2,3
34,2843991,29979408,1444.5,3,2
