HOLEID,X,Y,Z,FORMATION
1,2843790,29978988,1402,4
1,2843790,29978988,1407,4
1,2843790,29978988,1412,4
1,2843790,29978988,1417,4
1,2843790,29978988,1422,4
1,2843790,29978988,1427,4
1,2843790,29978988,1432,4
1,2843790,29978988,1437,4
1,2843790,29978988,1442,4
1,2843790,29978988,1447,4
1,2843790,29978988,1452,4
1,2843790,29978988,1457,4
1,2843790,29978988,1462,4
1,2843790,29978988,1467,4
1,2843790,29978988,1472,4
1,2843790,29978988,1477,4
1,2843790,29978988,1482,4
1,2843790,29978988,1487,4
1,2843790,29978988,1492,4
1,2843790,29978988,1497,4
1,2843790,29978988,1502,4
1,2843790,29978988,1507,4
1,2843790,29978988,1512,4
1,2843790,29978988,1517,4
1,2843790,29978988,1522,4
1,2843790,29978988,1527,4
1,2843790,29978988,1532,4
1,2843790,29978988,1537,4
1,2843790,29978988,1542,4
1,2843790,29978988,1547,4
1,2843790,29978988,1552,4
1,2843790,29978988,1557,4
1,2843790,29978988,1562,4
1,2843790,29978988,1567,4
1,2843790,29978988,1572,4
1,2843790,29978988,1577,4
1,2843790,29978988,1582,4
1,2843790,29978988,1587,4
1,2843790,29978988,1592,4
1,2843790,29978988,1597,4
1,2843790,29978988,1602,4
1,2843790,29978988,1607,4
1,2843790,29978988,1612,4
1,2843790,29978988,1617,4
1,2843790,29978988,1622,4
1,2843790,29978988,1627,4
1,2843790,29978988,1632,1
1,2843790,29978988,1637,1
1,2843790,29978988,1642,1
1,2843790,29978988,1647,1
1,2843790,29978988,1652,1
1,2843790,29978988,1657,1
1,2843790,29978988,1662,1
1,2843790,29978988,1667,1
1,2843790,29978988,1672,1
1,2843790,29978988,1677,1
1,2843790,29978988,1682,1
1,2843790,29978988,1687,1
1,2843790,29978988,1692,1
1,2843790,29978988,1697,1
1,2843790,29978988,1702,1
1,2843790,29978988,1707,1
1,2843790,29978988,1712,1
2,2843790,29979058,1402,4
2,2843790,29979058,1407,4
2,2843790,29979058,1412,4
2,2843790,29979058,1417,4
2,2843790,29979058,1422,4
2,2843790,29979058,1427,4
2,2843790,29979058,1432,4
2,2843790,29979058,1437,4
2,2843790,29979058,1442,4
2,2843790,29979058,1447,4
2,2843790,29979058,1452,4
2,2843790,29979058,1457,4
2,2843790,29979058,1462,4
2,2843790,29979058,1467,4
2,2843790,29979058,1472,4
2,2843790,29979058,1477,4
2,2843790,29979058,1482,4
2,2843790,29979058,1487,4
2,2843790,29979058,1492,4
2,2843790,29979058,1497,4
2,2843790,29979058,1502,4
2,2843790,29979058,1507,4
2,2843790,29979058,1512,4
2,2843790,29979058,1517,4
2,2843790,29979058,1522,4
2,2843790,29979058,1527,4
2,2843790,29979058,1532,4
2,2843790,29979058,1537,4
2,2843790,29979058,1542,4
2,2843790,29979058,1547,4
2,2843790,29979058,1552,4
2,2843790,29979058,1557,4
2,2843790,29979058,1562,4
2,2843790,29979058,1567,4
2,2843790,29979058,1572,4
2,2843790,29979058,1577,4
2,2843790,29979058,1582,4
2,2843790,29979058,1587,4
2,2843790,29979058,1592,4
2,2843790,29979058,1597,4
2,2843790,29979058,1602,4
2,2843790,29979058,1607,4
2,2843790,29979058,1612,4
2,2843790,29979058,1617,1
2,2843790,29979058,1622,1
2,2843790,29979058,1627,1
2,2843790,29979058,1632,1
2,2843790,29979058,1637,1
2,2843790,29979058,1642,1
2,2843790,29979058,1647,1
2,2843790,29979058,1652,1
2,2843790,29979058,1657,1
2,2843790,29979058,1662,1
2,2843790,29979058,1667,1
2,2843790,29979058,1672,1
2,2843790,29979058,1677,1
2,2843790,29979058,1682,1
2,2843790,29979058,1687,1
2,2843790,29979058,1692,1
2,2843790,29979058,1697,1
2,2843790,29979058,1702,1
2,2843790,29979058,1707,1
2,2843790,29979058,1712,1
3,2843790,29979128,1402,4
3,2843790,29979128,1407,4
3,2843790,29979128,1412,4
3,2843790,29979128,1417,4
3,2843790,29979128,1422,4
3,2843790,29979128,1427,4
3,2843790,29979128,1432,4
3,2843790,29979128,1437,4
3,2843790,29979128,1442,4
3,2843790,29979128,1447,4
3,2843790,29979128,1452,4
3,2843790,29979128,1457,4
3,2843790,29979128,1462,4
3,2843790,29979128,1467,4
3,2843790,29979128,1472,4
3,2843790,29979128,1477,4
3,2843790,29979128,1482,4
3,2843790,29979128,1487,4
3,2843790,29979128,1492,4
3,2843790,29979128,1497,4
3,2843790,29979128,1502,4
3,2843790,29979128,1507,4
3,2843790,29979128,1512,4
3,2843790,29979128,1517,4
